date,opening_price,highest_price,lowest_price,closing_price
2015-02-05,2456.38,2456.57,2348.45,2348.92
2015-02-06,2335.36,2366.33,2303.11,2325.24
2015-02-09,2319.24,2392.82,2311.8,2366.77
2015-02-10,2363.16,2409.02,2355.14,2403.55
2015-02-11,2408.08,2423.35,2395.2,2415.13
2015-02-12,2415.14,2425.63,2384.49,2416.45
2015-02-13,2426.95,2464.08,2415.42,2427.47
2015-02-16,2427.17,2437.84,2413.6,2431.21
2015-02-17,2437.69,2464.52,2437.69,2445.26
2015-02-25,2448.2,2448.2,2395.53,2407.46
2015-02-26,2401.14,2482.44,2382.69,2478.06
2015-02-27,2476.49,2498.7,2466.83,2474.59
2015-03-02,2495.57,2498.72,2459.42,2479.24
2015-03-03,2462.0,2462.0,2395.83,2396.8
2015-03-04,2403.86,2416.22,2378.93,2397.99
2015-03-05,2379.73,2382.89,2344.95,2366.9
2015-03-06,2370.88,2393.74,2366.02,2371.62
2015-03-09,2352.22,2443.2,2321.26,2429.87
2015-03-10,2413.84,2424.15,2390.6,2395.43
2015-03-11,2401.26,2444.66,2399.54,2408.5
2015-03-12,2444.42,2505.63,2423.43,2485.11
2015-03-13,2494.34,2532.15,2477.4,2495.28
2015-03-16,2512.35,2551.44,2485.29,2550.86
2015-03-17,2576.41,2586.43,2556.47,2583.2
2015-03-18,2595.74,2649.82,2592.26,2649.64
2015-03-19,2649.0,2649.0,2613.76,2630.24
2015-03-20,2642.8,2710.13,2617.07,2680.68
2015-03-23,2700.16,2724.64,2690.48,2720.67
2015-03-24,2719.51,2720.03,2649.62,2683.65
2015-03-25,2674.35,2691.24,2626.66,2649.16
2015-03-26,2637.53,2714.63,2621.45,2687.76
2015-03-27,2693.19,2715.01,2664.86,2689.24
2015-03-30,2716.43,2793.41,2704.8,2784.46
2015-03-31,2826.63,2860.24,2744.93,2754.66
2015-04-01,2758.96,2810.65,2751.37,2799.45
2015-04-02,2821.21,2824.82,2746.3,2781.64
2015-04-03,2771.03,2817.62,2764.35,2817.18
2015-04-07,2854.41,2889.86,2838.88,2889.45
2015-04-08,2907.58,2960.65,2879.97,2952.08
2015-04-09,2973.81,3021.85,2914.69,2931.77
2015-04-10,2925.93,2992.41,2911.46,2986.61
2015-04-13,3040.01,3059.77,3016.96,3041.12
2015-04-14,3057.41,3074.67,3013.31,3052.41
2015-04-15,3054.02,3119.48,3039.26,3053.3
2015-04-16,3045.85,3183.58,3033.25,3183.3
2015-04-17,3251.98,3271.57,3216.21,3235.33
2015-04-20,3267.85,3296.18,3146.84,3164.46
